178.512999773
         10135199 function calls (10083810 primitive calls) in 123.086 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 :0(Close)
        1    0.000    0.000    0.000    0.000 :0(ConnectRegistry)
       76    0.035    0.000    0.035    0.000 :0(FT2Font)
       18    0.000    0.000    0.000    0.000 :0(FT2Image)
        1    0.000    0.000    0.000    0.000 :0(LoadLibrary)
        1    0.000    0.000    0.000    0.000 :0(OpenKey)
        2    0.000    0.000    0.000    0.000 :0(POINTER)
        1    0.002    0.002    0.002    0.002 :0(RendererAgg)
       51    0.000    0.000    0.000    0.000 :0(__contains__)
      2/1    0.002    0.001    0.038    0.038 :0(__import__)
    11275    0.046    0.000    0.046    0.000 :0(__new__)
       52    0.002    0.000    0.003    0.000 :0(__reduce_ex__)
       12    0.000    0.000    0.000    0.000 :0(__subclasses__)
        9    0.000    0.000    0.000    0.000 :0(__subclasshook__)
       22    0.000    0.000    0.000    0.000 :0(_flatten)
        1    0.000    0.000    0.000    0.000 :0(_getdefaultlocale)
       68    0.000    0.000    0.000    0.000 :0(_getframe)
        9    0.000    0.000    0.000    0.000 :0(_getfullpathname)
   231711    2.792    0.000    2.792    0.000 :0(_insert)
      306    0.055    0.000   13.660    0.045 :0(_lmdif)
   177436    0.966    0.000    0.966    0.000 :0(abs)
        2    0.000    0.000    0.000    0.000 :0(accumulate)
        7    0.000    0.000    0.000    0.000 :0(acquire)
      301    0.001    0.000    0.001    0.000 :0(add)
      239    0.001    0.000    0.001    0.000 :0(add_docstring)
      804    0.006    0.000    0.006    0.000 :0(affine_transform)
      522    0.009    0.000    0.013    0.000 :0(all)
        7    0.000    0.000    0.000    0.000 :0(allocate_lock)
    79262    1.516    0.000    1.516    0.000 :0(any)
   333033    1.146    0.000    1.146    0.000 :0(append)
       16    0.000    0.000    0.000    0.000 :0(arange)
  1231552   10.252    0.000   10.252    0.000 :0(array)
        4    0.000    0.000    0.000    0.000 :0(astype)
        1    0.000    0.000    0.000    0.000 :0(buffer_rgba)
       18    0.000    0.000    0.000    0.000 :0(calcsize)
       61    0.033    0.001    0.037    0.001 :0(call)
    10468    0.044    0.000    0.044    0.000 :0(callable)
      145    0.000    0.000    0.000    0.000 :0(ceil)
     1481    0.005    0.000    0.005    0.000 :0(chr)
      380    0.008    0.000    0.008    0.000 :0(clear)
       11    0.002    0.000    0.002    0.000 :0(close)
        1    0.040    0.040    0.040    0.040 :0(collect)
       79    0.001    0.000    0.001    0.000 :0(compile)
      191    0.003    0.000    0.003    0.000 :0(concatenate)
     6813    0.022    0.000    0.022    0.000 :0(copy)
      140    0.001    0.000    0.001    0.000 :0(count)
        1    0.096    0.096    0.096    0.096 :0(create)
       24    0.000    0.000    0.000    0.000 :0(createcommand)
        1    0.000    0.000    0.001    0.001 :0(decode)
       24    0.000    0.000    0.000    0.000 :0(deletecommand)
      137    0.016    0.000    0.016    0.000 :0(dir)
       25    0.000    0.000    0.000    0.000 :0(divmod)
      159    0.002    0.000    0.002    0.000 :0(dot)
       87    0.002    0.000    0.002    0.000 :0(draw_glyph_to_bitmap)
       34    0.003    0.000    0.004    0.000 :0(draw_markers)
      106    0.017    0.000    0.038    0.000 :0(draw_path)
        1    0.000    0.000    0.000    0.000 :0(draw_rect_filled)
       18    0.005    0.000    0.006    0.000 :0(draw_text_image)
       18    0.000    0.000    0.000    0.000 :0(empty)
        1    0.000    0.000    0.000    0.000 :0(encode)
      872    0.004    0.000    0.004    0.000 :0(end)
      212    0.001    0.000    0.001    0.000 :0(endswith)
       14    0.000    0.000    0.001    0.000 :0(eval)
    42373    0.323    0.000    0.323    0.000 :0(exp)
     4086    0.036    0.000    0.036    0.000 :0(expandtabs)
     2241    0.008    0.000    0.008    0.000 :0(extend)
        4    0.000    0.000    0.000    0.000 :0(fdopen)
       75    0.012    0.000    0.032    0.000 :0(filter)
      139    0.000    0.000    0.000    0.000 :0(find)
        6    0.001    0.000    0.001    0.000 :0(find_module)
      310    0.003    0.000    0.003    0.000 :0(flatten)
      191    0.001    0.000    0.001    0.000 :0(format)
        2    0.000    0.000    0.000    0.000 :0(frompyfunc)
     5101    0.023    0.000    0.023    0.000 :0(get)
       75    0.007    0.000    0.007    0.000 :0(get_charmap)
       18    0.000    0.000    0.000    0.000 :0(get_descent)
